source_id,numeric_id,title,section,wiki_links
source100,100.0,NOVA-63: Native Omni-lingual Versatile Assessments of 63 Disciplines,literature,[]
source101,,Parallel Continuous Chain-of-Thought with Jacobi Iteration,literature,[]
source102,102.0,A Systematic Survey of Automatic Prompt Optimization Techniques,literature,[]
source103,,Internal Chain-of-Thought: Empirical Evidence for Layer-wise Subtask Scheduling in LLMs,literature,[]
source104,104.0,From Long to Lean: Performance-aware and Adaptive Chain-of-Thought Compression via Multi-round Refinement,literature,[]
source107,,CODI: Compressing Chain-of-Thought into Continuous Space via Self-Distillation,literature,[]
source109,,"Diagnosing Memorization in Chain-of-Thought Reasoning, One Token at a Time",literature,[]
source112,112.0,DS 2 -ABSA: Dual-Stream Data Synthesis with Label Refinement for Few-Shot Aspect-Based Sentiment Analysis,literature,[]
source114,,CoT-ICL Lab: A Synthetic Framework for Studying Chain-of-Thought Learning from In-Context Demonstrations,literature,[]
source115,,Fine-Tuning on Diverse Reasoning Chains Drives Within-Inference CoT Refinement in LLMs,literature,[]
source116,,A Theory of Response Sampling in LLMs: Part Descriptive and Part Prescriptive,literature,[]
source118,,Enhancing Chain-of-Thought Reasoning with Critical Representation Fine-tuning,literature,[]
source12,,Gradio-based interface for ESG Data (),research-artifacts,['gradio-esgdata']
source124,,LACA: Improving Cross-lingual Aspect-Based Sentiment Analysis with LLM Data Augmentation,literature,[]
source125,,Know Your Mistakes: Towards Preventing Overreliance on Task-Oriented Conversational AI Through Accountability Modeling,literature,[]
source126,126.0,Improving Chain-of-Thought Reasoning via Quasi-Symbolic Abstractions,literature,[]
source128,,Hierarchical Sequence Labeling Model for Aspect Sentiment Triplet Extraction,literature,[]
source130,,Self-Harmonized Chain of Thought,literature,[]
source131,,Markov Chain of Thought for Efficient Mathematical Reasoning,literature,[]
source132,132.0,On the Impact of Fine-Tuning on Chain-of-Thought Reasoning,literature,[]
source133,133.0,Test-Time Code-Switching for Cross-lingual Aspect Sentiment Triplet Extraction,literature,[]
source136,,Single Ground Truth Is Not Enough: Adding Flexibility to Aspect-Based Sentiment Analysis Evaluation,literature,[]
source138,138.0,Verify-in-the-Graph: Entity Disambiguation Enhancement for Complex Claim Verification with Interactive Graph Representation,literature,[]
source139,139.0,EmoDynamiX: Emotional Support Dialogue Strategy Prediction by Modelling MiXed Emotions and Discourse Dynamics,literature,[]
source14,,Research Gap Reference Index (Linking Gaps G1–G4 to Source Files),research-artifacts,[]
source17,17.0,"Objective Layer 1 — ESG Data, Semantics & Multilingual Foundations",research-artifacts,[]
source18,18.0,Aligned Research Questions for Objective Layer 1,research-artifacts,[]
source20,,Aligned Research Questions for Objective Layer 2,research-artifacts,[]
source22,,"Objective Layer 3 — Reasoning, Explainability & Semantic Alignment",research-artifacts,[]
source23,,Aligned Research Questions for Objective Layer 3,research-artifacts,[]
source25,25.0,"Objective Layer 4 — Trust, Risk & Greenwashing Intelligence",research-artifacts,[]
source26,26.0,Aligned Research Questions for Objective Layer 4,research-artifacts,[]
source3,3.0,Comprehensive Integrated Objectives (With Provenance & Reasoning),research-artifacts,[]
source32,32.0,Problem P1 — Lack of Fine-Grained ESG Sentiment Understanding,research-artifacts,[]
source33,33.0,Aligned Research Questions for Problem Statement P1,research-artifacts,[]
source34,34.0,"Problem P2 — Structural, Tonal & Ontological Modeling Limitations",research-artifacts,[]
source36,36.0,Research Objectives addressing Problem Statement P2,research-artifacts,[]
source37,37.0,Problem P3 — Narrative Complexity & Greenwashing Detection Limitations,research-artifacts,[]
source39,39.0,Problem P4 — Scalability & Contextual Coherence in Long Documents,research-artifacts,[]
source4,4.0,"Integrated Mapping of Hypothesis, Objectives, Research Gaps, and Problems",research-artifacts,[]
source40,40.0,Derived Research Gap G4 — Need for scalable long-context DL-ABSA frameworks,research-artifacts,[]
source44,,Improving Neural Political Statement Classification with Class Hierarchical Information,literature,[]
source46,,BiSyn-GAT+: Bi-Syntax Aware Graph Attention Network for Aspect-based Sentiment Analysis,literature,[]
source49,,Incorporating Dynamic Semantics into Pre-Trained Language Model for Aspect-based Sentiment Analysis,literature,[]
source5,5.0,Problem-Gap-RQ-Objective Matrix and Reasoning,research-artifacts,[]
source50,,Seq2Path: Generating Sentiment Tuples as Paths of a Tree,literature,[]
source55,,Towards Unifying the Label Space for Aspect- and Sentence-based Sentiment Analysis,literature,[]
source56,56.0,Attention Mechanism with Energy-Friendly Operations,literature,[]
source57,,Graph-Guided Textual Explanation Generation Framework,literature,[]
source58,,s1: Simple test-time scaling,literature,[]
source59,,FinMTEB: Finance Massive Text Embedding Benchmark,literature,[]
source6,6.0,"Integrated Mapping of Objective Layers, Research Gaps, and Questions",research-artifacts,[]
source60,,M-ABSA: A Multilingual Dataset for Aspect-Based Sentiment Analysis,literature,[]
source61,,Facilitating Long Context Understanding via Supervised Chain-of-Thought Reasoning,literature,[]
source62,62.0,Two Heads Are Better Than One: Dual-Model Verbal Reflection at Inference-Time,literature,[]
source65,,What Makes a Good Reasoning Chain? Uncovering Structural Patterns in Long Chain-of-Thought Reasoning,literature,[]
source68,,"ESGenius: Benchmarking LLMs on Environmental, Social, and Governance (ESG) and Sustainability Knowledge",literature,[]
source69,69.0,Measuring Chain of Thought Faithfulness by Unlearning Reasoning Steps,literature,[]
source71,71.0,Analysing Chain of Thought Dynamics: Active Guidance or Unfaithful Post-hoc Rationalisation?,literature,[]
source74,,Reward Model Perspectives: Whose Opinions Do Reward Models Reward?,literature,[]
source75,,Comprehensive and Efficient Distillation for Lightweight Sentiment Analysis Models,literature,[]
source77,,DICE: Structured Reasoning in LLMs through SLM-Guided Chain-of-Thought Correction,literature,[]
source82,,Towards AI-Assisted Psychotherapy: Emotion-Guided Generative Interventions,literature,[]
source83,83.0,TokenSkip: Controllable Chain-of-Thought Compression in LLMs,literature,[]
source85,85.0,SSA: Semantic Contamination of LLM-Driven Fake News Detection,literature,[]
source91,,RD-MCSA: A Multi-Class Sentiment Analysis Approach Integrating In-Context Classification Rationales and Demonstrations,literature,[]
source93,,Knowledge Editing through Chain-of-Thought,literature,[]
source94,,Look Beyond Feeling: Unveiling Latent Needs from Implicit Expressions for Proactive Emotional Support,literature,[]
source95,,TracSum: A New Benchmark for Aspect-Based Summarization with Sentence-Level Traceability in Medical Domain,literature,[]
source97,,Long Chain-of-Thought Fine-tuning via Understanding-to-Reasoning Transition,literature,[]
